Date,Year,MonthName,MonthNumber,Quarter,WeekNumber,DayOfWeek
2023-01-01,2023,January,1,1,52,Sunday
2023-01-02,2023,January,1,1,1,Monday
2023-01-03,2023,January,1,1,1,Tuesday
2023-01-04,2023,January,1,1,1,Wednesday
2023-01-05,2023,January,1,1,1,Thursday
2023-01-06,2023,January,1,1,1,Friday
2023-01-07,2023,January,1,1,1,Saturday
2023-01-08,2023,January,1,1,1,Sunday
2023-01-09,2023,January,1,1,2,Monday
2023-01-10,2023,January,1,1,2,Tuesday
2023-01-11,2023,January,1,1,2,Wednesday
2023-01-12,2023,January,1,1,2,Thursday
2023-01-13,2023,January,1,1,2,Friday
2023-01-14,2023,January,1,1,2,Saturday
2023-01-15,2023,January,1,1,2,Sunday
2023-01-16,2023,January,1,1,3,Monday
2023-01-17,2023,January,1,1,3,Tuesday
2023-01-18,2023,January,1,1,3,Wednesday
2023-01-19,2023,January,1,1,3,Thursday
2023-01-20,2023,January,1,1,3,Friday
2023-01-21,2023,January,1,1,3,Saturday
2023-01-22,2023,January,1,1,3,Sunday
2023-01-23,2023,January,1,1,4,Monday
2023-01-24,2023,January,1,1,4,Tuesday
2023-01-25,2023,January,1,1,4,Wednesday
2023-01-26,2023,January,1,1,4,Thursday
2023-01-27,2023,January,1,1,4,Friday
2023-01-28,2023,January,1,1,4,Saturday
2023-01-29,2023,January,1,1,4,Sunday
2023-01-30,2023,January,1,1,5,Monday
2023-01-31,2023,January,1,1,5,Tuesday
2023-02-01,2023,February,2,1,5,Wednesday
2023-02-02,2023,February,2,1,5,Thursday
2023-02-03,2023,February,2,1,5,Friday
2023-02-04,2023,February,2,1,5,Saturday
2023-02-05,2023,February,2,1,5,Sunday
2023-02-06,2023,February,2,1,6,Monday
2023-02-07,2023,February,2,1,6,Tuesday
2023-02-08,2023,February,2,1,6,Wednesday
2023-02-09,2023,February,2,1,6,Thursday
2023-02-10,2023,February,2,1,6,Friday
2023-02-11,2023,February,2,1,6,Saturday
2023-02-12,2023,February,2,1,6,Sunday
2023-02-13,2023,February,2,1,7,Monday
2023-02-14,2023,February,2,1,7,Tuesday
2023-02-15,2023,February,2,1,7,Wednesday
2023-02-16,2023,February,2,1,7,Thursday
2023-02-17,2023,February,2,1,7,Friday
2023-02-18,2023,February,2,1,7,Saturday
2023-02-19,2023,February,2,1,7,Sunday
2023-02-20,2023,February,2,1,8,Monday
2023-02-21,2023,February,2,1,8,Tuesday
2023-02-22,2023,February,2,1,8,Wednesday
2023-02-23,2023,February,2,1,8,Thursday
2023-02-24,2023,February,2,1,8,Friday
2023-02-25,2023,February,2,1,8,Saturday
2023-02-26,2023,February,2,1,8,Sunday
2023-02-27,2023,February,2,1,9,Monday
2023-02-28,2023,February,2,1,9,Tuesday
2023-03-01,2023,March,3,1,9,Wednesday
2023-03-02,2023,March,3,1,9,Thursday
2023-03-03,2023,March,3,1,9,Friday
2023-03-04,2023,March,3,1,9,Saturday
2023-03-05,2023,March,3,1,9,Sunday
2023-03-06,2023,March,3,1,10,Monday
2023-03-07,2023,March,3,1,10,Tuesday
2023-03-08,2023,March,3,1,10,Wednesday
2023-03-09,2023,March,3,1,10,Thursday
2023-03-10,2023,March,3,1,10,Friday
2023-03-11,2023,March,3,1,10,Saturday
2023-03-12,2023,March,3,1,10,Sunday
2023-03-13,2023,March,3,1,11,Monday
2023-03-14,2023,March,3,1,11,Tuesday
2023-03-15,2023,March,3,1,11,Wednesday
2023-03-16,2023,March,3,1,11,Thursday
2023-03-17,2023,March,3,1,11,Friday
2023-03-18,2023,March,3,1,11,Saturday
2023-03-19,2023,March,3,1,11,Sunday
2023-03-20,2023,March,3,1,12,Monday
2023-03-21,2023,March,3,1,12,Tuesday
2023-03-22,2023,March,3,1,12,Wednesday
2023-03-23,2023,March,3,1,12,Thursday
2023-03-24,2023,March,3,1,12,Friday
2023-03-25,2023,March,3,1,12,Saturday
2023-03-26,2023,March,3,1,12,Sunday
2023-03-27,2023,March,3,1,13,Monday
2023-03-28,2023,March,3,1,13,Tuesday
2023-03-29,2023,March,3,1,13,Wednesday
2023-03-30,2023,March,3,1,13,Thursday
2023-03-31,2023,March,3,1,13,Friday
2023-04-01,2023,April,4,2,13,Saturday
2023-04-02,2023,April,4,2,13,Sunday
2023-04-03,2023,April,4,2,14,Monday
2023-04-04,2023,April,4,2,14,Tuesday
2023-04-05,2023,April,4,2,14,Wednesday
2023-04-06,2023,April,4,2,14,Thursday
2023-04-07,2023,April,4,2,14,Friday
2023-04-08,2023,April,4,2,14,Saturday
2023-04-09,2023,April,4,2,14,Sunday
2023-04-10,2023,April,4,2,15,Monday
2023-04-11,2023,April,4,2,15,Tuesday
2023-04-12,2023,April,4,2,15,Wednesday
2023-04-13,2023,April,4,2,15,Thursday
2023-04-14,2023,April,4,2,15,Friday
2023-04-15,2023,April,4,2,15,Saturday
2023-04-16,2023,April,4,2,15,Sunday
2023-04-17,2023,April,4,2,16,Monday
2023-04-18,2023,April,4,2,16,Tuesday
2023-04-19,2023,April,4,2,16,Wednesday
2023-04-20,2023,April,4,2,16,Thursday
2023-04-21,2023,April,4,2,16,Friday
2023-04-22,2023,April,4,2,16,Saturday
2023-04-23,2023,April,4,2,16,Sunday
2023-04-24,2023,April,4,2,17,Monday
2023-04-25,2023,April,4,2,17,Tuesday
2023-04-26,2023,April,4,2,17,Wednesday
2023-04-27,2023,April,4,2,17,Thursday
2023-04-28,2023,April,4,2,17,Friday
2023-04-29,2023,April,4,2,17,Saturday
2023-04-30,2023,April,4,2,17,Sunday
2023-05-01,2023,May,5,2,18,Monday
2023-05-02,2023,May,5,2,18,Tuesday
2023-05-03,2023,May,5,2,18,Wednesday
2023-05-04,2023,May,5,2,18,Thursday
2023-05-05,2023,May,5,2,18,Friday
2023-05-06,2023,May,5,2,18,Saturday
2023-05-07,2023,May,5,2,18,Sunday
2023-05-08,2023,May,5,2,19,Monday
2023-05-09,2023,May,5,2,19,Tuesday
